product_id,id_web,nom_produit,prix_unitaire,z_score,ventes_totales,chiffre_affaires,stock
5026,13913,Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012,86.8,1.9517,0.0,0.0,2
4359,13853,Champagne Larmandier-Bernier Grand Cru Les Chemins d'Avize 2011,85.6,1.9086,1.0,85.6,0
5580,13982,Lucien Boillot Puligny-Montrachet 1er Cru Les Perrières 2016,83.7,1.8404,0.0,0.0,18
4337,4679,Champagne Mailly Grand Cru Les Echansons 2007,83.0,1.8152,0.0,0.0,13
4046,15269,Pierre Gaillard Côte Rôtie Rose Pourpre 2017,80.0,1.7074,6.0,480.0,0
4210,15720,Lucien Boillot Nuits-Saint-Georges 1er Cru Les Pruliers 2017,79.8,1.7003,0.0,0.0,0
4350,12588,Champagne Egly-Ouriet Grand Cru Extra Brut V.P.,79.5,1.6895,0.0,0.0,20
4353,12587,Champagne Egly-Ouriet Grand Cru Brut Rosé,79.5,1.6895,3.0,238.5,11
4797,14506,Domaine Peyre Rose Clos des Cistes 2008,78.0,1.6356,0.0,0.0,0
4994,14507,Domaine Peyre Rose Syrah Léone 2008,78.0,1.6356,0.0,0.0,7
4996,14508,Domaine Peyre Rose Marlène N°3 2008,78.0,1.6356,0.0,0.0,33
6299,15710,Lucien Boillot Gevrey Chambertin 1er Cru Les Cherbaudes 2017,78.0,1.6356,0.0,0.0,10
4995,14509,Domaine Peyre Rose Oro Blanc 2002,78.0,1.6356,0.0,0.0,0
4073,13074,Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015,77.8,1.6284,0.0,0.0,11
4139,13217,Zind-Humbrecht Gewurztraminer Grand Cru Rangen De Thann Clos Saint-Urbain 2013,77.4,1.614,0.0,0.0,7
4358,13854,Champagne Larmandier-Bernier Grand Cru Vieilles Vignes du Levant 2008,77.0,1.5997,0.0,0.0,0
4631,791,Marcel Windholtz Eau de Vie de Baie de Houx,76.8,1.5925,0.0,0.0,3
6106,14106,Stéphane Tissot Château-Chalon 2011,74.8,1.5206,0.0,0.0,15
5951,16472,Domaine de Vaccelli AOP Ajaccio Rouge Granit 174 2017,74.5,1.5099,0.0,0.0,6
5741,15127,Domaine Clerget Chambolle-Musigny Les Charmes 2015,73.3,1.4667,0.0,0.0,0
6568,15707,Decelle-Villa Chambolle-Musigny 2017,72.0,1.42,0.0,0.0,19
6041,13073,Château de Vaudieu Châteauneuf-du-Pape Amiral G 2015,71.7,1.4093,0.0,0.0,4
4054,19816,Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018,71.6,1.4057,10.0,716.0,0
5968,13215,Zind-Humbrecht Pinot Gris Clos Windsbuhl 2013,71.5,1.4021,0.0,0.0,18
5619,15922,"Albert Boxler Riesling Grand Cru Sommerberg ""E"" 2018",71.3,1.3949,0.0,0.0,13
5618,15921,"Albert Boxler Riesling Grand Cru Sommerberg ""D"" 2018",71.3,1.3949,0.0,0.0,31
4286,16066,Domaine Hauvette Les Baux de Provence Amethyste 2017,69.8,1.341,10.0,698.0,4
5969,13211,Zind-Humbrecht Riesling Clos Windsbuhl 2014,69.0,1.3123,0.0,0.0,0
7025,15887,Domaine Jamet Côte Rôtie Fructus Voluptas 2018,69.0,1.3123,0.0,0.0,2
4149,7086,Champagne Mailly Grand Cru Intemporelle Rosé 2009,69.0,1.3123,0.0,0.0,34
6573,15473,Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017,68.3,1.2871,1.0,68.3,12
4405,13230,Cognac Frapin Château de Fontpinot XO 1/2,68.1,1.2799,0.0,0.0,6
4617,10459,Alphonse Mellot Sancerre Rouge Génération XIX 2011,67.5,1.2584,0.0,0.0,1
4573,13604,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,67.2,1.2476,0.0,0.0,9
5063,15715,Lucien Boillot Pommard 1er Cru Les Croix Noires 2017,67.0,1.2404,0.0,0.0,0
5545,14827,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Caillerets 1er Cru 2016,65.9,1.2009,7.0,461.3,0
5069,15344,Albert Mann Pinot Noir Les Saintes Claires 2017,65.0,1.1686,0.0,0.0,2
5002,14580,David Duband Morey-Saint-Denis 1er Cru Les Broc 2016,64.9,1.165,0.0,0.0,1
5820,15240,Maison Trimbach Riesling Cuvée Frédéric Emile 2012,63.5,1.1147,0.0,0.0,7
