product_id,id_web,nom_produit,prix_unitaire,z_score,ventes_totales,chiffre_affaires,stock
4352,15940,Champagne Egly-Ouriet Grand Cru Millésimé 2008,225.0,6.9166,5.0,1125.0,0
5001,14581,David Duband Charmes-Chambertin Grand Cru 2014,217.5,6.6472,0.0,0.0,20
5892,14983,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,191.3,5.7059,3.0,573.9,10
4402,3510,Cognac Frapin VIP XO,176.0,5.1563,13.0,2288.0,8
5767,15185,Camille Giroud Clos de Vougeot 2016,175.0,5.1203,0.0,0.0,12
4406,7819,Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age,157.0,4.4737,0.0,0.0,3
4904,14220,Domaine Des Croix Corton Charlemagne Grand Cru 2016,137.0,3.7552,5.0,685.0,13
6126,14923,Champagne Gosset Célébris Vintage 2007,135.0,3.6833,2.0,270.0,10
4355,12589,Champagne Egly-Ouriet Grand Cru Blanc de Noirs,126.5,3.378,11.0,1391.5,2
5612,14915,Domaine Weinbach Gewurztraminer Grand Cru Furstentum SGN 2010 1/2,124.8,3.3169,0.0,0.0,12
5917,14775,Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain,122.0,3.2163,0.0,0.0,4
6216,15070,Domaine des Comtes Lafon Volnay 1er Cru Champans 2016,121.0,3.1804,0.0,0.0,6
6213,15072,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,121.0,3.1804,0.0,0.0,7
6202,15126,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,116.4,3.0151,0.0,0.0,14
6212,13996,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015,115.0,2.9648,2.0,230.0,2
6215,12790,Domaine des Comtes Lafon Volnay 1er Cru Champans 2014,115.0,2.9648,0.0,0.0,4
5918,14773,Wemyss Malts Single Cask Scotch Whisky Chai Caramel Latte 2002 Craigellachie,114.0,2.9289,0.0,0.0,8
5025,13914,Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012,112.0,2.857,0.0,0.0,0
4582,12857,Château de Meursault Puligny-Montrachet 1er Cru Champ Canet 2014,109.6,2.7708,0.0,0.0,7
4404,3507,Cognac Frapin Château de Fontpinot XO,108.5,2.7313,2.0,217.0,2
6201,14596,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,105.6,2.6271,0.0,0.0,7
5008,11602,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013,105.0,2.6056,0.0,0.0,10
5007,12791,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2014,105.0,2.6056,0.0,0.0,17
4407,3509,Cognac Frapin Cigar Blend,104.0,2.5696,1.0,104.0,6
4903,14805,Domaine Des Croix Corton Grand Cru Les Grèves 2017,102.3,2.5086,0.0,0.0,20
4115,15382,Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017,100.0,2.4259,0.0,0.0,11
6214,11601,Domaine des Comtes Lafon Volnay 1er Cru Champans 2013,99.0,2.39,0.0,0.0,7
5916,14774,Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde,93.0,2.1745,0.0,0.0,3
5565,19822,Tempier Bandol Cabassaou 2017,92.0,2.1385,0.0,0.0,0
4132,11668,Zind-Humbrecht Pinot Gris Grand Cru Rangen De Thann Clos Saint-Urbain 2012,88.4,2.0092,0.0,0.0,5
